text,entities
I have always dreamed of climbing Mount Everest.,"[(34, 47, 'MOUNTAIN')]"
Lhotse and Nanga Parbat are both on my bucket list.,"[(0, 6, 'MOUNTAIN'), (11, 23, 'MOUNTAIN')]"
I have always dreamed of climbing K2.,"[(34, 36, 'MOUNTAIN')]"
I have always dreamed of climbing Nanga Parbat.,"[(34, 46, 'MOUNTAIN')]"
Mount Everest and Nanga Parbat are both on my bucket list.,"[(0, 13, 'MOUNTAIN'), (18, 30, 'MOUNTAIN')]"
I have always dreamed of climbing Lhotse.,"[(34, 40, 'MOUNTAIN')]"
I have always dreamed of climbing Annapurna.,"[(34, 43, 'MOUNTAIN')]"
I have always dreamed of climbing Annapurna.,"[(34, 43, 'MOUNTAIN')]"
I have always dreamed of climbing Annapurna.,"[(34, 43, 'MOUNTAIN')]"
Lhotse and Manaslu are both on my bucket list.,"[(0, 6, 'MOUNTAIN'), (11, 18, 'MOUNTAIN')]"
Mount Everest and Kangchenjunga are both on my bucket list.,"[(0, 13, 'MOUNTAIN'), (18, 31, 'MOUNTAIN')]"
Cho Oyu and Makalu are both on my bucket list.,"[(0, 7, 'MOUNTAIN'), (12, 18, 'MOUNTAIN')]"
I have always dreamed of climbing Lhotse.,"[(34, 40, 'MOUNTAIN')]"
K2 and Nanga Parbat are both on my bucket list.,"[(0, 2, 'MOUNTAIN'), (7, 19, 'MOUNTAIN')]"
K2 and Cho Oyu are both on my bucket list.,"[(0, 2, 'MOUNTAIN'), (7, 14, 'MOUNTAIN')]"
Nanga Parbat and Makalu are both on my bucket list.,"[(0, 12, 'MOUNTAIN'), (17, 23, 'MOUNTAIN')]"
I have always dreamed of climbing Manaslu.,"[(34, 41, 'MOUNTAIN')]"
I have always dreamed of climbing Dhaulagiri.,"[(34, 44, 'MOUNTAIN')]"
I have always dreamed of climbing Annapurna.,"[(34, 43, 'MOUNTAIN')]"
Nanga Parbat and Cho Oyu are both on my bucket list.,"[(0, 12, 'MOUNTAIN'), (17, 24, 'MOUNTAIN')]"
I have always dreamed of climbing K2.,"[(34, 36, 'MOUNTAIN')]"
I have always dreamed of climbing Lhotse.,"[(34, 40, 'MOUNTAIN')]"
K2 and Lhotse are both on my bucket list.,"[(0, 2, 'MOUNTAIN'), (7, 13, 'MOUNTAIN')]"
I have always dreamed of climbing Dhaulagiri.,"[(34, 44, 'MOUNTAIN')]"
Manaslu and Cho Oyu are both on my bucket list.,"[(0, 7, 'MOUNTAIN'), (12, 19, 'MOUNTAIN')]"
I have always dreamed of climbing Cho Oyu.,"[(34, 41, 'MOUNTAIN')]"
Lhotse and Makalu are both on my bucket list.,"[(0, 6, 'MOUNTAIN'), (11, 17, 'MOUNTAIN')]"
I have always dreamed of climbing Nanga Parbat.,"[(34, 46, 'MOUNTAIN')]"
I have always dreamed of climbing Annapurna.,"[(34, 43, 'MOUNTAIN')]"
I have always dreamed of climbing Kangchenjunga.,"[(34, 47, 'MOUNTAIN')]"
